"fips","2020-11-16","2020-11-17","2020-11-18","2020-11-19","2020-11-20","2020-11-21","2020-11-22","2020-11-23","2020-11-24","2020-11-25","2020-11-26","2020-11-27","2020-11-28","2020-11-29","name"
1017,11.9843368530273,11.6695785522461,11.4525833129883,11.2634811401367,11.088623046875,10.9247131347656,10.7703857421875,10.6246871948242,10.4868469238281,10.3562164306641,10.2322235107422,10.1143569946289,10.0021820068359,9.89530181884766,"Chambers , Alabama"
1027,4.84744262695312,4.90089416503906,4.95462036132812,5.00721740722656,5.05879211425781,5.10932922363281,5.15885162353516,5.20736694335938,5.25489807128906,5.30142211914062,5.34700012207031,5.39163208007812,5.43531799316406,5.47808837890625,"Clay , Alabama"
1041,4.25743865966797,4.31436157226562,4.37879180908203,4.44170379638672,4.50362396240234,4.56449127197266,4.62431335449219,4.68308258056641,4.74080657958984,4.79746246337891,4.85307312011719,4.90763092041016,4.96113586425781,5.01359558105469,"Crenshaw , Alabama"
1055,66.4052505493164,61.6783905029297,56.2653617858887,51.2868804931641,47.0087432861328,43.3853187561035,40.3035163879395,37.6599159240723,35.3729553222656,33.3794364929199,31.6298713684082,30.0849151611328,28.7128562927246,27.4878959655762,"Etowah , Alabama"
1077,58.1926689147949,53.927734375,49.4901580810547,45.5390014648438,42.1488380432129,39.2475700378418,36.7489280700684,34.5806159973145,32.6854133605957,31.0180931091309,29.5424842834473,28.2293243408203,27.0546684265137,25.9987525939941,"Lauderdale , Alabama"
1105,2.99550628662109,3.06267547607422,3.14147186279297,3.21901702880859,3.29600524902344,3.37234497070312,3.44801330566406,3.52296447753906,3.59719085693359,3.67062377929688,3.74325561523438,3.8150634765625,3.88599395751953,3.9560546875,"Perry , Alabama"
2050,24.9769859313965,23.870433807373,23.0842590332031,22.3848266601562,21.7423286437988,21.1475524902344,20.5939826965332,20.0759925842285,19.5884819030762,19.1267547607422,18.6864166259766,18.2632179260254,17.8530006408691,17.4515113830566,"Bethel Census Area , Alaska"
2068,1.08716583251953,1.15386962890625,1.23264312744141,1.31132507324219,1.39051818847656,1.47015380859375,1.55016326904297,1.63053894042969,1.71121978759766,1.79213714599609,1.87327575683594,1.95457458496094,2.03597259521484,2.11746215820312,"Denali Borough , Alaska"
2230,0.573280334472656,0.636665344238281,0.71075439453125,0.785079956054688,0.860183715820312,0.935981750488281,1.01247406005859,1.089599609375,1.16732025146484,1.24559783935547,1.32437896728516,1.40364837646484,1.48336029052734,1.56343841552734,"Skagway Municipality , Alaska"
4017,48.7360382080078,45.5756225585938,42.3146896362305,39.4139595031738,36.8966598510742,34.7098388671875,32.7987976074219,31.1181602478027,29.6312942504883,28.3085670471191,27.1257171630859,26.0627708435059,25.1030349731445,24.2325057983398,"Navajo , Arizona"
5001,9.30164337158203,9.17115020751953,9.09213256835938,9.02266693115234,8.95732116699219,8.89481353759766,8.83480072021484,8.77708435058594,8.72156524658203,8.66813659667969,8.61670684814453,8.56718444824219,8.51947784423828,8.4735107421875,"Arkansas , Arkansas"
5027,8.85916137695312,8.82083892822266,8.76734161376953,8.71312713623047,8.66025543212891,8.60916900634766,8.55992889404297,8.51248931884766,8.46677398681641,8.42272186279297,8.38025665283203,8.33927917480469,8.29977416992188,8.26165771484375,"Columbia , Arkansas"
5077,2.49887847900391,2.59319305419922,2.67307281494141,2.75340270996094,2.83336639404297,2.91291046142578,2.99201202392578,3.07064056396484,3.14874267578125,3.22625732421875,3.30319976806641,3.37948608398438,3.455078125,3.52996826171875,"Lee , Arkansas"
5081,6.19904327392578,6.23220062255859,6.25494384765625,6.27822875976562,6.30117797851562,6.32374572753906,6.34586334228516,6.36749267578125,6.38862609863281,6.40922546386719,6.4293212890625,6.44890594482422,6.46799468994141,6.48658752441406,"Little River , Arkansas"
5111,17.2814788818359,16.8869285583496,16.4886436462402,16.0830421447754,15.6660766601562,15.2350273132324,14.7905502319336,14.339183807373,13.89453125,13.47412109375,13.0920333862305,12.7529678344727,12.4531478881836,12.1853713989258,"Poinsett , Arkansas"
5137,2.07036590576172,2.14688110351562,2.2286376953125,2.31005859375,2.39138793945312,2.47256469726562,2.55355072021484,2.63430023193359,2.71475982666016,2.79489898681641,2.87464141845703,2.95397186279297,3.03282928466797,3.11117553710938,"Stone , Arkansas"
6001,194.443328857422,191.978363037109,186.500335693359,180.348754882812,173.871322631836,167.231170654297,160.539489746094,153.854705810547,147.179443359375,140.46272277832,133.603668212891,126.454734802246,118.828025817871,110.518280029297,"Alameda , California"
6019,216.620391845703,215.443969726562,214.294982910156,212.802459716797,210.865173339844,208.390441894531,205.292907714844,201.509735107422,197.018646240234,191.85205078125,186.100189208984,179.898773193359,173.402786254883,166.755554199219,"Fresno , California"
6053,97.1904602050781,88.7766494750977,79.5215301513672,70.5263748168945,62.6499710083008,56.1792373657227,50.9444313049316,46.653980255127,43.0709190368652,40.0323257446289,37.4257278442383,35.1694030761719,33.2012939453125,31.472972869873,"Monterey , California"
6083,47.9989471435547,44.6743202209473,41.4905090332031,38.6962699890137,36.2741050720215,34.1670074462891,32.3224563598633,30.6975936889648,29.257869720459,27.9752349853516,26.8266906738281,25.7932205200195,24.8589363098145,24.0104484558105,"Santa Barbara , California"
6089,112.091377258301,111.746841430664,107.054397583008,99.7694625854492,90.8898773193359,81.2759552001953,71.9320907592773,63.7364883422852,57.019287109375,51.6129837036133,47.2030868530273,43.5321846008301,40.4255638122559,37.7644958496094,"Shasta , California"
