id,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1017,12.71725464,12.81144333,12.86589432,12.88920212,12.88780975,12.86673355,12.83007431,12.78123093,12.72309113,12.65810394,12.58833313,12.51552582,12.44113922,12.36635971
1027,4.758888245,4.801651001,4.845680237,4.88999939,4.934082031,4.977668762,5.020599365,5.062797546,5.104263306,5.144981384,5.184967041,5.224220276,5.262771606,5.300643921
1041,3.718429565,3.725357056,3.758399963,3.806724548,3.863761902,3.925460815,3.989250183,4.053596497,4.117538452,4.180541992,4.242301941,4.302650452,4.361541748,4.418960571
1055,69.47265625,70.39703369,71.35192108,72.33790588,73.3555069,74.40517426,75.48729706,76.60209656,77.74971771,78.93016052,80.14324951,81.38864136,82.66577911,83.97388458
1077,61.11029434,61.74651337,62.40511703,63.08685303,63.7924881,64.52279663,65.27852631,66.06045532,66.86936188,67.70599365,68.57108307,69.46535492,70.38948822,71.34411621
1105,2.322860718,2.316520691,2.352584839,2.416862488,2.49936676,2.593193054,2.693481445,2.796844482,2.900932312,3.004119873,3.105361938,3.203979492,3.299606323,3.392044067
2050,25.76616669,24.92389679,24.29395676,23.78683472,23.34398651,22.934021,22.54055786,22.15488434,21.77216339,21.38951111,21.00505829,20.61745834,20.22564316,19.82864761
2068,0.569328308,0.659065247,0.76776123,0.891746521,1.026756287,1.169448853,1.317146301,1.467666626,1.619186401,1.77015686,1.919303894,2.065574646,2.208129883,2.346359253
2230,0.132369995,0.2498703,0.378639221,0.516937256,0.662612915,0.813835144,0.969024658,1.126747131,1.285690308,1.444641113,1.602462769,1.758140564,1.910774231,2.059608459
4017,51.04087067,51.32697296,51.62271118,51.92843628,52.24452209,52.57134247,52.90931702,53.25884247,53.62035751,53.99430466,54.38113785,54.78134918,55.19543076,55.62391281
5001,10.2464447,10.32551575,10.37157822,10.39659119,10.40795517,10.41040421,10.40703201,10.39986038,10.39023209,10.37904739,10.3669014,10.35417175,10.34114075,10.32797623
5027,8.370582581,8.311904907,8.281787872,8.267814636,8.262992859,8.263362885,8.266639709,8.271526337,8.277305603,8.283569336,8.290081024,8.296714783,8.303386688,8.310070038
5077,3.285575867,3.448684692,3.581954956,3.694129944,3.791572571,3.878646851,3.958305359,4.032516479,4.102592468,4.169387817,4.233505249,4.295333862,4.355155945,4.41318512
5081,7.075214386,7.139846802,7.181213379,7.210273743,7.232685089,7.251457214,7.26820755,7.283813477,7.298751831,7.313282013,7.327529907,7.341587067,7.355484009,7.369247437
5111,17.3773613,17.00198746,16.60494232,16.18991852,15.76052856,15.32086563,14.87592316,14.43199539,13.99666977,13.57850266,13.18622589,12.82762146,12.50839615,12.23141479
5137,1.793029785,1.879173279,1.98147583,2.094261169,2.213172913,2.334976196,2.457328796,2.578514099,2.697341919,2.812995911,2.924980164,3.033027649,3.137031555,3.2370224
6001,140.2023621,140.1728363,140.1324768,140.078537,140.0082703,139.9190063,139.8082428,139.6739502,139.5147705,139.3300781,139.1202393,138.8865356,138.6310577,138.3567505
6019,140.262207,140.2620544,140.2619781,140.2618103,140.2615051,140.2608643,140.2597351,140.2577209,140.254364,140.2489624,140.2404633,140.2276306,140.2088013,140.1820068
6053,104.8371582,106.30336,107.7449341,109.1566696,110.5334778,111.8705597,113.1635132,114.4083557,115.6016769,116.7407227,117.8233643,118.8481979,119.8145142,120.7222443
6083,50.57727051,50.8478241,51.12744141,51.41645432,51.71520996,52.02407074,52.34339905,52.67359924,53.01506042,53.36821365,53.73347855,54.11131287,54.50218964,54.90658569
6089,108.7786407,110.1653519,111.5136261,112.8189087,114.077095,115.2846375,116.4385834,117.5366287,118.577179,119.5593185,120.4828491,121.3481522,122.1562347,122.9085922
